epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.16269,3.51046,19.756,1.8301,0.6343,0.27586,0.31468,0.11355,2.898,1.38496,1.09874,0.00044,0.00044,0.00044
2,7.25746,2.79702,1.35462,1.00507,0.40065,0.54023,0.33864,0.14114,2.50814,1.59879,0.87277,0.00085545,0.00085545,0.00085545
3,10.2961,2.64799,1.18161,0.92583,0.31616,0.50575,0.29521,0.09619,2.58083,2.42308,0.87005,0.00122536,0.00122536,0.00122536
4,13.2333,2.45733,1.03175,0.91897,0.5998,0.48276,0.50819,0.17868,2.47096,1.56323,0.86313,0.00154973,0.00154973,0.00154973
5,16.1976,2.40008,0.95816,0.90223,0.61615,0.51661,0.5381,0.20076,2.4555,1.27839,0.86264,0.001604,0.001604,0.001604
6,19.2638,2.43615,0.97895,0.8927,0.67046,0.58466,0.60015,0.25823,2.13463,1.03212,0.82192,0.001505,0.001505,0.001505
7,22.255,2.33916,0.94219,0.88079,0.78879,0.60103,0.65942,0.26847,2.20744,0.94302,0.82662,0.001406,0.001406,0.001406
8,25.2437,2.32852,0.92474,0.87636,0.67777,0.71264,0.68278,0.28934,2.15561,0.88862,0.82735,0.001307,0.001307,0.001307
9,28.2209,2.34079,0.92073,0.8664,0.73931,0.66667,0.6643,0.28477,2.15416,0.91041,0.82475,0.001208,0.001208,0.001208
10,31.1438,2.2589,0.88955,0.86787,0.68919,0.6092,0.61379,0.25242,2.26671,0.97879,0.83361,0.001109,0.001109,0.001109
11,50.5366,2.16472,0.90762,0.87599,0.81245,0.65517,0.66262,0.27401,2.12851,0.89584,0.82944,0.00101,0.00101,0.00101
12,53.434,2.10855,0.86085,0.87721,0.80673,0.66667,0.68255,0.28931,2.15627,0.91163,0.8246,0.000911,0.000911,0.000911
13,56.3059,1.9501,0.80724,0.87372,0.79778,0.68023,0.66655,0.30275,2.02137,0.85149,0.8195,0.000812,0.000812,0.000812
14,59.3569,1.97488,0.80849,0.87018,0.81692,0.67816,0.67876,0.31323,1.99823,0.86143,0.81517,0.000713,0.000713,0.000713
15,62.2387,1.8966,0.79069,0.8622,0.82766,0.70115,0.69623,0.29418,2.05188,0.90091,0.81873,0.000614,0.000614,0.000614
16,65.097,1.80778,0.76678,0.86172,0.84281,0.71264,0.72323,0.30499,2.04325,0.86861,0.81735,0.000515,0.000515,0.000515
17,67.9402,1.85318,0.76215,0.86227,0.85527,0.66667,0.70181,0.31158,2.03618,0.85855,0.8182,0.000416,0.000416,0.000416
18,70.7503,1.83236,0.7606,0.8608,0.89488,0.685,0.72391,0.31925,2.03954,0.85531,0.81797,0.000317,0.000317,0.000317
19,73.6728,1.89505,0.75685,0.85647,0.86344,0.66667,0.71628,0.31915,2.00784,0.83571,0.82303,0.000218,0.000218,0.000218
20,76.4914,1.7902,0.74115,0.84848,0.8487,0.64477,0.68247,0.30943,2.01214,0.84531,0.82185,0.000119,0.000119,0.000119
